Frame,Theta,GMNIA_ALR_H,GMNIA_ALR_V,GNA_ALR_H,GNA_ALR_V,GNA_Notional_Loads_ALR_H,GNA_Notional_Loads_ALR_V,GMNIA_del2_over_del1,GNA_del2_over_del1,GNA_Notional_Loads_del2_over_del1
W8X31_x_1X2.1335999999999995,46.0,3.592094589122521,3.719722837039451,3.793278639222667,3.928055019569313,3.744837980053423,3.8778932485795634,1.1356289813643667,1.1443348487573386,1.1422263606376493
W8X31_x_1X2.1335999999999995,47.0,3.5452407080351955,3.801805204802695,3.7457548680982433,4.0168303159711884,3.6972216062380197,3.9647847645568506,1.1390430409951104,1.1480857551742154,1.145883734475972
W8X31_x_1X2.1335999999999995,48.0,3.4978751682268734,3.884783937143035,3.6986298492921463,4.107744598344669,3.6490530267771777,4.05268395881408,1.142515536837712,1.1519528819764957,1.1496076868172795
W8X31_x_1X2.1335999999999995,49.0,3.4499601937223634,3.96872521302828,3.650882371219047,4.199859738330517,3.60029270306693,4.141662982356527,1.146050154100945,1.1558980337156497,1.153402385395212
W8X31_x_1X2.1335999999999995,50.0,3.4014564491412234,4.053697943316798,3.6024703317181745,4.29325696003919,3.550899388436998,4.231797103110376,1.149650788186858,1.1599260748592939,1.1572722457784637
W8X31_x_1X2.1335999999999995,51.0,3.3523228994957304,4.139774016374616,3.5533496265561872,4.388021350009123,3.5008299762275072,4.323164983156021,1.1533215634338556,1.1640421797304341,1.1612219537349335
W8X31_x_1X2.1335999999999995,52.0,3.3045047130615766,4.229573156025755,3.5034739736933425,4.484242196235028,3.450039335601911,4.415848978340636,1.1571764460545,1.1682518612215593,1.1652564898595472
W8X31_x_1X2.1335999999999995,53.0,3.256406789516142,4.32139776711694,3.452794722382789,4.582013356456361,3.3984801337035715,4.509935462811163,1.1611453010431438,1.1725610025708597,1.1693811567489951
W8X31_x_1X2.1335999999999995,54.0,3.2075065709551307,4.414754054055131,3.401260645355437,4.681433659077339,3.3461026425974074,4.605515181311888,1.165208662427001,1.1769758925991416,1.1736016090470376
W8X31_x_1X2.1335999999999995,55.0,3.1577532513033915,4.5097390116323695,3.348817712123865,4.782607340512386,3.292854529248066,4.7026836324373695,1.1693725137654662,1.1815032648657149,1.1779238867312325
W8X31_x_1X2.1335999999999995,56.0,3.107093177316823,4.606455070222156,3.2954088411872617,4.885644523236034,3.238680626568417,4.801541486428722,1.1736432639678118,1.186150341271544,1.1823544520669622
W8X31_x_1X2.1335999999999995,57.0,3.055469595741346,4.705010578482806,3.240973628630056,4.990661739374438,3.1840309783318377,4.902977747233466,1.1780277891314148,1.1909248807202704,1.186935718150243
W8X31_x_1X2.1335999999999995,58.0,3.0028223759688326,4.80552033284001,3.185448050273437,5.097782505319074,3.1296157669187377,5.008432174431345,1.1825334792541973,1.1958352335448297,1.1917366464000647
W8X31_x_1X2.1335999999999995,59.0,2.949087705211276,4.908106159435301,3.128764134153745,5.207137953586262,3.0740605456250556,5.116095893587019,1.1871682905059857,1.2008904025222304,1.1966788062568732
W8X31_x_1X2.1335999999999995,60.0,2.8941977528047262,5.012897555009454,3.071287043238405,5.3196252035169085,3.0172941634277364,5.226106792437869,1.1919408038550794,1.206135596051988,1.2017716719276568
W8X31_x_1X2.1335999999999995,61.0,2.8380802997793415,5.12003239409697,3.0141894235135087,5.437741663452412,2.9592408227394045,5.338611763570583,1.1968602909788733,1.2116933293837435,1.2070254940176866
W8X31_x_1X2.1335999999999995,62.0,2.7806583292796923,5.229657710962032,2.9556681218783694,5.558803259597137,2.899819643744039,5.4537675487205854,1.2019367885452787,1.2174435913687773,1.2124513842382294
W8X31_x_1X2.1335999999999995,63.0,2.7218495727759775,5.34193056593484,2.895632184638675,5.682998145650693,2.8389441813594463,5.571741674878768,1.2071811821404927,1.2234002557632344,1.2180614112961463
W8X31_x_1X2.1335999999999995,64.0,2.661566006255251,5.457019007242005,2.8339839918884078,5.810528265543031,2.7765218885615632,5.692713494346775,1.2126053013452567,1.2295784717226297,1.2238687097347825
W8X31_x_1X2.1335999999999995,65.0,2.6003734987903555,5.5765189640655715,2.770618588563655,5.941610737267184,2.7124535188499315,5.816875342734183,1.218289690913823,1.2359948174456648,1.2298876038224509
W8X31_x_1X2.1335999999999995,66.0,2.539186232343206,5.703105653634136,2.7054229355235866,6.076479402149872,2.6466324595101263,5.944433831068306,1.2243701993979843,1.2426674764268395,1.2361337489812654
W8X31_x_1X2.1335999999999995,67.0,2.4761666617072353,5.833483088156895,2.6382750691537673,6.215386563359729,2.5789439860041354,6.075611290754782,1.2306972214274199,1.2496164403050896,1.2426242937319483
W8X31_x_1X2.1335999999999995,68.0,2.411191047923988,5.9679072637917265,2.5690431560635183,6.358604941431925,2.5110171613431707,6.214985564743189,1.2372901583337728,1.2568637431196428,1.2495962669974305
